t,pop,avg_viruses,virus_1_cnt,virus_1_genome
138,191,0.429319,82,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
139,191,0.439791,84,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
140,189,0.433862,82,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
141,188,0.43617,82,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
142,188,0.452128,85,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
143,188,0.468085,88,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
144,186,0.478495,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
145,185,0.481081,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
146,183,0.469945,86,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
147,183,0.497268,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
148,181,0.491713,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
149,179,0.50838,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
150,177,0.514124,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
151,176,0.517045,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
152,176,0.511364,90,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
153,176,0.511364,90,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
154,175,0.525714,92,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
155,174,0.511494,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
156,174,0.54023,94,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
157,171,0.54386,93,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
158,171,0.538012,92,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
159,168,0.529762,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
160,166,0.524096,87,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
161,165,0.533333,88,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
162,165,0.557576,92,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
163,164,0.554878,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
164,163,0.558282,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
165,163,0.564417,92,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
166,162,0.574074,93,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
167,162,0.567901,92,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
168,162,0.580247,94,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
169,162,0.58642,95,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
170,161,0.583851,94,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
171,160,0.56875,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
172,158,0.563291,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
173,157,0.566879,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
174,157,0.566879,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
175,157,0.573248,90,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
